"title_name","address","address1","for_description","country","competition_corner","startDate","startMonth","startYear","endDate","endMonth","endYear","organizer_name","organizer_url","page_url"
"Mikko's Dogfight"," 10 Parker Centre Parker Industrial Estate, Derby DE21 4SZ","Crossfit Deviant","","GB","Throwdown Hub Presents","30","05","2020","30","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/189"
"CrossFit Fort Ashton Weightlifting Open","BS3 2EB","Bristol","","GB","Throwdown Hub Presents","23","05","2020","23","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/190"
"South West Series 20.1 Triple Threat","Unit 12 Bath Road Industrial Estate, Chippenham, Wilts, SN14 0AB","SW1 - CrossFit Chippenham","","GB","Throwdown Hub Presents","23","05","2020","23","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/191"
"Form Fitness Series: Masters Mixed Sex, Mixed Ability Pairs. 86 Years","6 Leodis Court, Leeds LS11 5JJ","Form Leeds","","GB","Throwdown Hub Presents","23","05","2020","23","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/192"
"Form Fitness Series: Masters Mixed Sex, Mixed Ability Pairs. 70-85 Years","6 Leodis Court, Leeds LS11 5JJ","Form Leeds","","GB","Throwdown Hub Presents","23","05","2020","23","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/193"
"South West Series 20.1 Same Sex Pairs","Unit 12 Bath Road Industrial Estate, Chippenham, Wilts, SN14 0AB","SW1 - CrossFit Chippenham","","GB","Throwdown Hub Presents","22","05","2020","22","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/194"
"Form Fitness Series: Mixed Ability Same Sex 3's","6 Leodis Court, Leeds LS11 5JJ","Form Leeds","","GB","Throwdown Hub Presents","22","05","2020","22","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/195"
"Same Sex Pairs Competition","Unit 25 Waterloo park, Bidford-on-Avon B50 4JG","Iron Mind Crossfit","","GB","Throwdown Hub Presents","22","05","2020","22","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/196"
"The Rainhill Trials &ndash; hosted by BodyPower","North Avenue, Marston Green, Birmingham, B40 1NT","National Exhibition Centre","","GB","Throwdown Hub Presents","14","05","2020","16","05","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/197"
"Battle Royale 2020","Unit K , Gunnels Wood Park, Stevenage, SG1 2BH","Six Hills CrossFit","","GB","Throwdown Hub Presents","24","04","2020","24","04","2020","Throwdown Hub","https://throwdownhub.io","https://throwdownhub.io/calendar/competition/info/198"
