"name","sku","category","image_url","page_url"
"Door Bell SHOP KEEPER with Iron Bracket","F181.AL","Door Bells, Door Furniture, Industrial","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/F181.AL-Door-Bell-on-Bracket-SHOP-KEEPER-Door-Mounted.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-bell-shop-keeper-with-iron-bracket/"
"Door Bell Victorian Single Stroke PRESS System Cast Iron","F145.WU","Door Bells, Door Furniture, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/F145.WU-Door-Bell-Victorian-Single-Stroke-Lever-Cast-Ant-Iron.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-bell-victorian-single-stroke-press-system-cast-iron/"
"Door Handle Spindle 115mm","49.135.ZP.115","Door Knobs & Escutcheons, Industrial, Lever Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/49.135.ZP_.115-Door-Spindle-115mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-handle-spindle-115mm/"
"Door Handle Spindle Rod 125mm","49.135.ZP.125","Door Knobs & Escutcheons, Industrial, Lever Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/49.135.ZP_.125-Door-Spindle-125mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-handle-spindle-rod-125mm/"
"Door Handle Spindle with Holes 4″ / 100mm","49.135.ZP.100","Door Knobs & Escutcheons, Industrial, Lever Handles","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/49.135.ZP_.100-Door-Spindle-100mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-handle-spindle-with-holes-4-100mm/"
"Door Hinge Sprung Cast Ant Iron 105mm x 70mm open","01.335.AI.105","Hinges, Hinges","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.335.AI_.105-Heavy-Hinge-Sprung-Ant-Iron-105mm-x-70mm-open.jpg","https://www.adfixtrade.co.uk/products/architectural-hardware/hinges/door-hinge-sprung-cast-ant-iron-105mm-x-70mm-open/"
"Door Knob BEEHIVE Partial Circular Rings Solid Brass 2″ 50mm","01.085A.SB.50","Door Knobs, Door Knobs & Escutcheons, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.085A.SB_.50-Knob-Partial-Rings-S-Brasss-50mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-knob-beehive-partial-circular-rings-solid-brass-2-50mm/"
"Door Knob OVAL Cast Ant Iron on Square Backplate 3.0″ / 75mm","01.085O.AI.50","Door Knobs, Door Knobs & Escutcheons, Industrial","","https://www.adfixtrade.co.uk/products/shop-by-style/industrial/door-knob-oval-cast-ant-iron-on-square-backplate-3-0-75mm/"
"Door Knob Set Art Nouveau Ant Brass – Oval 75 x 50mm","01.083.AB.50","Art Deco & Art Nouveau, Door Knobs, Door Knobs & Escutcheons","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.083.AB_.50-Oval-Door-Knob-Art-Nouveau-Ant-Brass-75mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/art-deco/door-knob-set-art-nouveau-ant-brass-oval-75-x-50mm/"
"Door Knob Set Art Nouveau Ant Brass – Oval 75 x 50mm","43.083.AB.50","Art Deco & Art Nouveau, Door Knobs, Door Knobs & Escutcheons","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/43.083.AB_.50-Door-Knob-Set-Art-Nouveau-Ant-Brass-Oval-75-x-50mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/art-deco/door-knob-set-art-nouveau-ant-brass-oval-75-x-50mm-2/"
"Door Knob Set Beehive Ebonised / Brass 50mm / 2″ Dia","43.081.ENB.50","Door Knobs, Door Knobs & Escutcheons, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/43.081.ENB_.50-Door-Knob-Set-Beehive-Ebonised-Brass-50mm-2-Dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-knob-set-beehive-ebonised-brass-50mm-2-dia/"
"Door Knob Set Beehive Ebonised / Brass 50mm / 2″ Dia USE 43.","01.081.ENB.50","Door Knobs, Door Knobs & Escutcheons, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.081.ENB_.50-Door-Knob-Set-Beehive-Ebonised-Brass-50mm-2-Dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-knob-set-beehive-ebonised-brass-50mm-2-dia-use-43/"
"Door Knob Set Beehive Ebonised / Chrome 50mm / 2″ dia","01.081.ECH.50","Door Knobs, Door Knobs & Escutcheons, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.081.ECH_.50-Door-Knob-Set-Beehive-Ebony-Chrome.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-knob-set-beehive-ebonised-chrome-50mm-2-dia/"
"Door Knob Set Beehive Ebonised / Chrome 50mm / 2″ dia","43.081.ECH.50","Door Knobs, Door Knobs & Escutcheons, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/05/43.081.ECH_.50-Door-Knob-Set-Beehive-Ebonised-Chrome-50mm-2-dia.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-knob-set-beehive-ebonised-chrome-50mm-2-dia-2/"
"Door Knob Set Beehive Solid Brass 2″ dia","01.081.SB.50","Door Knobs, Door Knobs & Escutcheons, Victorian","https://www.adfixtrade.co.uk/wp-content/uploads/2020/04/01.081.SB_.50-Door-Knob-Beehive-Solid-Brass-50mm.jpg","https://www.adfixtrade.co.uk/products/shop-by-style/victorian/door-knob-set-beehive-solid-brass-2-dia/"
