"coin_name","coin_symbol","coin_slug","coin_price","coin_volume24h","coin_volume7d","coin_volume30d","coin_marketCap","coin_percentChange1h","coin_percentChange24h","coin_percentChange7d","coin_marketCapByTotalSupply","coin_circulatingSupply","cryptos","exchanges","market_cap","crypto_24h_volume","dominance","eth_Gas","todays_crypto_market_cap","todays_market_increase_or_decrease"
"Chainlink","LINK","chainlink","6.012676796562807","298623742.8609793","2012684929.538361","10171893622.568764","3054439634.9960623","0.22612032","-3.61703367","-11.43613754","6012676796.562807","507999970.4527867","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Toncoin","TON","toncoin","2.4350055118863843","67669300.03781871","176480342.90001965","2091291143.2869477","2974118607.9595394","-1.02968406","4.86631721","31.42493042","12290832837.249125","1221401181.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Monero","XMR","monero","142.68073608952906","65053171.69816692","506037380.377712","2097965898.9099598","2598889924.2873197","0.41048847","-1.83930442","-4.88660942","2598889924.2873197","18214721.87146955","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Cosmos","ATOM","cosmos","8.705994235983505","138965625.77400154","751221759.1813221","4857634649.658536","2493138155.0388846","-0.29215277","-4.60865521","-10.09905752","0.0","286370297.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Ethereum Classic","ETC","ethereum-classic","16.147088721962273","164500537.81372783","766399101.9928362","4958823253.025506","2234649123.7492075","-0.14988379","-7.19990402","-15.99692716","3402191593.717451","138393314.25173727","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Bitcoin Cash","BCH","bitcoin-cash","101.87334410132172","169276049.57256487","1028455329.5519395","5146523288.095724","1961890868.2880676","-0.19025596","-1.31460104","-7.20021974","1961890868.2880676","19258137.5","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Stellar","XLM","stellar","0.07459814006515685","62209089.11796636","501020051.23323643","2186564199.595124","1944597994.1874135","0.11460027","-5.63059216","-12.72129932","3730040349.717135","26067647162.367958","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Cronos","CRO","cronos","0.05638991258048921","20215138.42427376","150770309.8845494","576109681.1905606","1424579133.611582","-0.25247471","-5.61478823","-12.32848133","1706528696.514028","25263013692.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Algorand","ALGO","algorand","0.19456306115058014","99588775.36304039","684046931.6009825","3070042064.199983","1388096656.9926825","1.13697237","-5.13661188","-14.8114824","1431560182.0625303","7134430599.436236","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Quant","QNT","quant","110.98566035489819","31188281.43458107","212891091.40087342","926914214.7951986","1339900799.2216728","-0.54909827","-5.45019086","-7.66906527","1621777194.0068543","12072738.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"OKB","OKB","okb","21.85430431626537","35421287.31616586","287842810.4554688","1320261688.2789016","1311258258.975922","-2.31087948","-8.70810933","1.71650469","6556291294.879611","60000000.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"ApeCoin","APE","apecoin-ape","3.430273586650762","162499272.34341353","2093892821.8253102","5710212373.1019125","1239186333.1775877","-0.1730507","-11.35135613","-15.11887263","3430273586.650762","361250000.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"VeChain","VET","vechain","0.0168538358388269","44223068.58133726","204087885.4313007","1365002432.9446273","1222090958.2141132","-0.14441036","-5.76342672","-13.1096451","1449177768.5919294","72511146418.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"NEAR Protocol","NEAR","near-protocol","1.394077006750917","87080279.3193783","539129437.5643505","2678926314.6393194","1174684886.4328442","-0.16123774","-8.10846845","-18.0739178","1394077006.750917","842625537.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Hedera","HBAR","hedera","0.04274546310579653","19361998.46430479","115447292.97374365","588110760.0149509","1064638776.6348836","-0.15688725","-3.82056859","-11.05179023","2137273155.2898264","24906474261.370502","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
"Filecoin","FIL","filecoin","3.0707933170622836","410920811.43484014","984762709.891269","13133317105.887785","1053665416.4573723","-0.15937936","-21.15332556","-30.00478083","1053665416.4573723","343124824.0","22,057","534","$805,422,750,551.88","$44,409,951,180","BTC: 39.9% ETH: 17.9%","12 Gwei","The global crypto market cap is $805.42B, a","2.54% decrease over the last day."
