"name","sku","page_url","specifications","img_url"
"Essential tubular latch zinc plate 57mm","Y2600-ZP-3.0","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/essential-tubular-latch-zinc-plate-57mm","Essential tubular latch with durable nylon latch for quieter locking, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has universal handing","https://d3oaxe41u6vpgy.cloudfront.net/Y2600-ZP-3.0.jpg"
"Tubular latch silver enamel 57mm","Y2648-SE-3.00","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-latch-silver-enamel-57mm","2648 tubular latch with nylon latch bolt allows for quiet operation, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has a reversible latch bolt.","https://d3oaxe41u6vpgy.cloudfront.net/Y2648%20SE%203%2000.jpg"
"Rebate adaptor for tubular mortice latch - nickel plated","DH002020","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/rebate-adaptor-for-tubular-mortice-latch-nickel-plated","Rebate for use with tubular latches","https://d3oaxe41u6vpgy.cloudfront.net/Dale%2BRebate%2Btubular%2Bmortice%2Blatch_DH002020_main%2Bimage.jpg"
"70mm passage latch - polished stainless steel ","DH002268-PSS","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/70mm-passage-latch-polished-stainless-steel","Passage latch for use with lightly sprung lever handles",""
"70mm passage latch - satin stainless steel","DH002268-SSS","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/70mm-passage-latch-satin-stainless-steel","Passage latch for use with lightly sprung lever handles",""
"Tubular bathroom deadbolt satin stainless steel 57mm","DH002201","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-bathroom-deadbolt-satin-stainless-steel-57mm","Tubular deadbolt for use with bathroom turn and release or bathroom turn and indicator","https://d3oaxe41u6vpgy.cloudfront.net/DH002218.jpg"
"Tubular bathroom deadbolt satin stainless steel 45mm","DH002218","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-bathroom-deadbolt-satin-stainless-steel-45mm","Tubular deadbolt for use with bathroom turn and release or bathroom turn and indicator","https://d3oaxe41u6vpgy.cloudfront.net/DH002218.jpg"
"Tubular bathroom deadbolt polished stainless steel","DH002203","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-bathroom-deadbolt-polished-stainless-steel","Tubular deadbolt for use with bathroom turn and release or bathroom turn and indicator","https://d3oaxe41u6vpgy.cloudfront.net/DH002218.jpg"
"Tubular bathroom deadbolt electro brass","DH002202","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/tubular-bathroom-deadbolt-electro-brass","Tubular deadbolt for use with bathroom turn and release or bathroom turn and indicator","https://d3oaxe41u6vpgy.cloudfront.net/DH002218.jpg"
"57mm backset tubular bathroom deadbolt - satin stainless steel ","DP007201","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/57mm-backset-tubular-bathroom-deadbolt-satin-stainless-steel","Tubular deadbolt for use with bathroom turn and release or bathroom turn and indicator","https://d3oaxe41u6vpgy.cloudfront.net/DH002218.jpg"
"NP 63MM TUB MORT LATCH(X5) P/P","DP097170","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/np-63mm-tub-mort-latch-x5-p-p","",""
"EB 63MM TUB MORT LATCH(X5) P/P","DP097172","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/eb-63mm-tub-mort-latch-x5-p-p","",""
"63mm tubular latch (x10) ","MX2170","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/63mm-tubular-latch-x10","Tubular latch for use on internal doors",""
"Essential tubular latch polished brass 45mm 2.5","J2600-PL-2.5","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/essential-tubular-latch-polished-brass-45mm-2-5","Essential tubular latch with durable nylon latch for quieter locking, suitable for timber doors requiring lever handle operation, for use with sprung lever handles and has universal handing","https://d3oaxe41u6vpgy.cloudfront.net/J2600-PL-2.5.jpg"
"2648 / 2650 mortice latch","J2648-PL-2.50","https://www.uniononline.co.uk/uk/en/products/locks-and-cylinders/latches/tubular/2648-2650-mortice-latch","2648/2650 mortice latch for timber doors hinged on left or right &amp; requiring lever handle operation.Latch bolt withdrawn by sprung lever handle from either sideNot suitable for use with unsprung lever handlesTwo way action 2650 rebated mortice latch (s","https://d3oaxe41u6vpgy.cloudfront.net/J2648-PL-2.50.jpg"
